name;href;comp_min;comp_max;comp_car;employer;address;site
Full-Stack Web-Developer (Python / Odoo);https://hh.ru/vacancy/34649894?query=Python;100000.0;200000.0;руб; NPBFX Limited;Москва, Павелецкая;https://hh.ru
Разработчик Python;https://hh.ru/vacancy/35062437?query=Python;;;;ООО ЭлРос;Владимир;https://hh.ru
Python/Django разработчик;https://hh.ru/vacancy/36386182?query=Python;50000.0;;руб;ООО ИДАГРУПП;Москва, Калужская;https://hh.ru
Python разработчик;https://hh.ru/vacancy/36317639?query=Python;;;; Билайн;Москва;https://hh.ru
Тестировщик;https://hh.ru/vacancy/36631633?query=Python;;;; Uchi.ru;Москва;https://hh.ru
C++/Deep Learning/ Machine Learning Developer SberDevices;https://hh.ru/vacancy/35671395?query=Python;;;; Сбербанк для экспертов;Москва, Кутузовская и еще 1 ;https://hh.ru
Middle/Senior Python developer;https://hh.ru/vacancy/36060034?query=Python;;;;ЗАО Научсофт;Минск;https://hh.ru
Программист Python;https://hh.ru/vacancy/35178155?query=Python;45000.0;75000.0;руб;ООО ТД Технодар;Петрозаводск;https://hh.ru
Программист Python;https://hh.ru/vacancy/36559760?query=Python;;;; Petrosoft Inc.;Санкт-Петербург;https://hh.ru
Python разработчик Back-End (middle+/senior);https://hh.ru/vacancy/36307743?query=Python;140000.0;;руб;ООО СИБРУС;Москва;https://hh.ru
Аналитик данных;https://hh.ru/vacancy/36497517?query=Python;30000.0;40000.0;руб;ООО Неолаб-Нск;Новосибирск;https://hh.ru
Software Developer in hedge fund;https://hh.ru/vacancy/36563929?query=Python;200000.0;300000.0;руб;ООО Кениг Капитал Раша;Москва;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/35447743?query=Python;;;; DataArt;Казань;https://hh.ru
Программист C++/Python;https://hh.ru/vacancy/35909189?query=Python;110000.0;;руб;АО Интегрис;Москва;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/35414303?query=Python;;;; DataArt;Воронеж;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/35447797?query=Python;;;; DataArt;Белгород;https://hh.ru
Senior Data Scientist;https://hh.ru/vacancy/36359628?query=Python;300000.0;;руб; Gradient;Москва, Калужская;https://hh.ru
Программист Go;https://hh.ru/vacancy/36250741?query=Python;50000.0;150000.0;руб;ООО Прикладные технологии;Екатеринбург, Динамо;https://hh.ru
Middle/Senior Data Analyst (Minsk);https://hh.ru/vacancy/36320523?query=Python;;;;ООО Изибрэйн;Санкт-Петербург;https://hh.ru
Python-разработчик;https://hh.ru/vacancy/36445936?query=Python;100000.0;;руб; FunBox;Санкт-Петербург;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/34774630?query=Python;;;; Тинькофф;Москва;https://hh.ru
Python/Jango разработчик;https://hh.ru/vacancy/36448873?query=Python;160000.0;180000.0;руб;ООО Кадровое решение;Москва;https://hh.ru
DevOps Engineer;https://hh.ru/vacancy/36425414?query=Python;100000.0;180000.0;руб;ООО Медицинские Скрининг Системы;Санкт-Петербург;https://hh.ru
Стажер – разработчик;https://hh.ru/vacancy/34290624?query=Python;;;;ООО Дата Ист;Новосибирск;https://hh.ru
QA Engineer (Python);https://hh.ru/vacancy/34909381?query=Python;;;;ООО Т8;Москва;https://hh.ru
Junior Python разработчик;https://hh.ru/vacancy/33289186?query=Python;32000.0;;руб;ИП Sibdev;Красноярск;https://hh.ru
Python разработчик Front-End (middle+/senior);https://hh.ru/vacancy/36307920?query=Python;140000.0;;руб;ООО СИБРУС;Москва;https://hh.ru
Программист Python;https://hh.ru/vacancy/34790297?query=Python;;;;АО НИИМЭ;Москва;https://hh.ru
Программист Python;https://hh.ru/vacancy/36263285?query=Python;100000.0;130000.0;руб;ООО Телепорт;Санкт-Петербург, Кировский завод;https://hh.ru
Middle Python Developer;https://hh.ru/vacancy/34470521?query=Python;;;; DataArt;Екатеринбург;https://hh.ru
Back-end Developer (Python);https://hh.ru/vacancy/36425307?query=Python;;;; Zaochnik.com;Минск;https://hh.ru
Middle Python Developer;https://hh.ru/vacancy/34907549?query=Python;;;; DataArt;Нижний Новгород;https://hh.ru
Software Engineer (С embedded);https://hh.ru/vacancy/36597429?query=Python;;;; Quantenna Communications;Санкт-Петербург;https://hh.ru
DevOps - разработчик ПО;https://hh.ru/vacancy/35275243?query=Python;200000.0;;руб;ООО Прогматик Лаб;Москва, Белорусская и еще 1 ;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/35447747?query=Python;;;; DataArt;Нижний Новгород;https://hh.ru
Senior Python Разработчик;https://hh.ru/vacancy/36397425?query=Python;;;; Colvir Software Solutions;Москва;https://hh.ru
Data Scientist;https://hh.ru/vacancy/36431494?query=Python;;;; BP Mobile;Минск;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/35447784?query=Python;;;; DataArt;Краснодар;https://hh.ru
Data Scientist;https://hh.ru/vacancy/36265810?query=Python;;;; Mail.Ru Group, Другое;Москва, Аэропорт;https://hh.ru
Full-Stack Web-Developer (Python / Odoo);https://hh.ru/vacancy/34649894?query=Python;100000.0;200000.0;руб; NPBFX Limited;Москва, Павелецкая;https://hh.ru
Преподаватель по программированию для детей;https://hh.ru/vacancy/36559377?query=Python;2000000.0;2500000.0;сум;ООО Компьютерная Академия ШАГ Ташкент;Ташкент;https://hh.ru
Аналитик Data Scientist;https://hh.ru/vacancy/36324804?query=Python;150000.0;;руб;ООО Стоматорг;Москва;https://hh.ru
Ведущий аналитик данных / Data Scientist;https://hh.ru/vacancy/36214189?query=Python;;300000.0;руб;ООО ГЕТСИЭРЭМ;Москва, Римская и еще 1 ;https://hh.ru
Программист Go;https://hh.ru/vacancy/36250731?query=Python;50000.0;150000.0;руб;ООО Прикладные технологии;Челябинск;https://hh.ru
Программист Python/Django/PostgreSQL (консультант по вопросам администрирования баз данных ОРСИС УД);https://hh.ru/vacancy/35694729?query=Python;38000.0;45000.0;руб; Администрация города Вологды;Вологда;https://hh.ru
Senior Python Developer (Financial Software Solutions);https://hh.ru/vacancy/36527671?query=Python;;;; DataArt;Днепр (Днепропетровск);https://hh.ru
Senior / Lead Python Developer (Cyprus);https://hh.ru/vacancy/35220226?query=Python;260000.0;;руб; IBIT;Красноярск;https://hh.ru
Middle Python Developer;https://hh.ru/vacancy/34470526?query=Python;;;; DataArt;Краснодар;https://hh.ru
Senior / Lead Python Developer (Cyprus);https://hh.ru/vacancy/35220224?query=Python;260000.0;;руб; IBIT;Пермь;https://hh.ru
Python-разработчик;https://hh.ru/vacancy/36445891?query=Python;100000.0;;руб; FunBox;Москва;https://hh.ru
Python Developer (web-service);https://hh.ru/vacancy/36387188?query=Python;;;; Группа «Кронштадт»;Самара;https://hh.ru
Senior / Lead Python Developer (Cyprus);https://hh.ru/vacancy/35220234?query=Python;260000.0;;руб; IBIT;Нижний Новгород;https://hh.ru
Тестировщик;https://hh.ru/vacancy/36631633?query=Python;;;; Uchi.ru;Москва;https://hh.ru
Data Scientist (Computer Vision);https://hh.ru/vacancy/34982073?query=Python;;;; Тинькофф;Москва, Водный стадион;https://hh.ru
Тестировщик ПО;https://hh.ru/vacancy/36375368?query=Python;;;; Итворкс;Брест;https://hh.ru
